x%time,field.layout.data_offset,field.data0,field.data1,field.data2,field.data3
1707922921048121566,0,56.0,46.0,54.0,52.0
1707922921078344970,0,56.0,46.0,56.0,52.0
1707922921110934186,0,56.0,47.0,56.0,53.0
1707922921140948297,0,56.0,47.0,55.0,52.0
1707922921172045775,0,56.0,47.0,53.0,51.0
1707922921202990106,0,57.0,46.0,53.0,50.0
1707922921234166126,0,57.0,47.0,54.0,51.0
1707922921264938605,0,56.0,48.0,54.0,52.0
1707922921296360108,0,55.0,48.0,54.0,53.0
1707922921327058535,0,56.0,47.0,55.0,53.0
1707922921358052454,0,55.0,47.0,54.0,53.0
1707922921389000399,0,56.0,47.0,54.0,51.0
1707922921419841319,0,56.0,46.0,54.0,50.0
1707922921452073868,0,56.0,46.0,53.0,49.0
1707922921482871187,0,56.0,45.0,54.0,51.0
1707922921513471456,0,55.0,45.0,54.0,52.0
1707922921545266788,0,56.0,45.0,55.0,51.0
1707922921576060029,0,56.0,45.0,55.0,52.0
1707922921607146161,0,56.0,45.0,55.0,52.0
1707922921637660042,0,56.0,46.0,55.0,52.0
1707922921668792472,0,57.0,47.0,54.0,50.0
1707922921699964231,0,57.0,47.0,54.0,50.0
1707922921731372756,0,57.0,46.0,54.0,51.0
1707922921762372363,0,58.0,46.0,55.0,52.0
1707922921793490972,0,58.0,47.0,54.0,52.0
1707922921824704369,0,58.0,46.0,55.0,51.0
1707922921856151468,0,57.0,45.0,55.0,52.0
1707922921886606606,0,56.0,44.0,54.0,51.0
1707922921917004401,0,57.0,45.0,54.0,51.0
1707922921949304035,0,57.0,45.0,55.0,51.0
1707922921979543734,0,58.0,45.0,56.0,51.0
1707922922010143703,0,57.0,46.0,56.0,50.0
1707922922041868096,0,57.0,45.0,56.0,50.0
1707922922072436536,0,57.0,46.0,56.0,51.0
1707922922102785990,0,56.0,45.0,56.0,52.0
1707922922134575646,0,55.0,46.0,56.0,51.0
1707922922165716814,0,55.0,46.0,56.0,52.0
1707922922201171515,0,55.0,46.0,57.0,51.0
1707922922228104495,0,55.0,47.0,56.0,51.0
1707922922258793039,0,55.0,47.0,56.0,51.0
1707922922289992527,0,56.0,47.0,54.0,51.0
1707922922320894240,0,56.0,46.0,54.0,51.0
1707922922351600362,0,57.0,46.0,54.0,50.0
1707922922382165274,0,56.0,46.0,54.0,50.0
1707922922413933013,0,56.0,45.0,54.0,51.0
1707922922445885320,0,56.0,44.0,54.0,50.0
1707922922476402771,0,57.0,43.0,54.0,51.0
1707922922507279490,0,57.0,44.0,55.0,52.0
1707922922537947087,0,56.0,45.0,55.0,53.0
1707922922568244590,0,56.0,46.0,56.0,53.0
1707922922602487528,0,56.0,45.0,56.0,52.0
1707922922630986437,0,56.0,45.0,57.0,51.0
1707922922662087050,0,55.0,45.0,56.0,52.0
1707922922693438204,0,55.0,45.0,56.0,51.0
1707922922725092810,0,55.0,44.0,55.0,52.0
1707922922755515707,0,56.0,44.0,54.0,52.0
1707922922786275128,0,56.0,44.0,54.0,51.0
1707922922817456264,0,56.0,45.0,54.0,51.0
1707922922848311079,0,56.0,45.0,55.0,50.0
1707922922879383231,0,55.0,46.0,55.0,51.0
1707922922909894509,0,56.0,46.0,55.0,51.0
1707922922940986101,0,55.0,46.0,55.0,51.0
1707922922973521746,0,55.0,46.0,54.0,51.0
1707922923003576352,0,55.0,46.0,56.0,50.0
1707922923035610259,0,55.0,45.0,56.0,49.0
1707922923067153684,0,55.0,46.0,55.0,50.0
1707922923100550702,0,55.0,46.0,55.0,51.0
1707922923128304785,0,55.0,47.0,55.0,52.0
1707922923158436425,0,55.0,47.0,56.0,51.0
1707922923190411159,0,55.0,46.0,55.0,51.0
1707922923221314487,0,55.0,45.0,55.0,51.0
1707922923252572709,0,56.0,45.0,55.0,51.0
1707922923283376756,0,56.0,45.0,55.0,50.0
1707922923314306222,0,55.0,46.0,54.0,50.0
1707922923345018886,0,56.0,45.0,54.0,51.0
1707922923376366861,0,56.0,46.0,56.0,52.0
1707922923406604310,0,56.0,46.0,56.0,51.0
1707922923438594657,0,56.0,46.0,55.0,51.0
1707922923469217976,0,56.0,46.0,55.0,51.0
1707922923499932692,0,56.0,46.0,56.0,52.0
1707922923532738119,0,56.0,46.0,55.0,51.0
1707922923562732454,0,57.0,45.0,54.0,51.0
1707922923593994459,0,57.0,44.0,54.0,50.0
1707922923624554335,0,56.0,45.0,54.0,52.0
1707922923655038203,0,56.0,46.0,54.0,52.0
1707922923686787085,0,56.0,45.0,54.0,52.0
1707922923717464037,0,57.0,44.0,55.0,51.0
1707922923748171140,0,57.0,43.0,54.0,51.0
1707922923779480882,0,57.0,44.0,55.0,51.0
1707922923810568462,0,56.0,46.0,55.0,51.0
1707922923841412830,0,56.0,46.0,56.0,51.0
1707922923873456317,0,56.0,45.0,56.0,51.0
1707922923903272489,0,56.0,44.0,55.0,51.0
1707922923934109469,0,57.0,45.0,55.0,51.0
1707922923965295187,0,57.0,45.0,54.0,53.0
1707922923997141886,0,56.0,46.0,54.0,52.0
1707922924027476335,0,56.0,47.0,54.0,52.0
1707922924058914405,0,56.0,48.0,54.0,51.0
1707922924089854415,0,56.0,47.0,54.0,51.0
1707922924121404498,0,55.0,46.0,54.0,52.0
1707922924152839872,0,55.0,46.0,55.0,52.0
1707922924182453814,0,57.0,47.0,55.0,54.0
1707922924214409353,0,58.0,48.0,55.0,52.0
1707922924244773129,0,58.0,47.0,55.0,52.0
1707922924275740247,0,56.0,46.0,55.0,50.0
1707922924306743205,0,56.0,44.0,55.0,52.0
1707922924338241957,0,56.0,45.0,54.0,52.0
1707922924368943301,0,57.0,45.0,55.0,53.0
1707922924400165305,0,57.0,47.0,55.0,52.0
1707922924433053080,0,57.0,47.0,56.0,51.0
1707922924462748110,0,57.0,47.0,56.0,51.0
1707922924493744949,0,56.0,46.0,55.0,51.0
1707922924524209523,0,56.0,46.0,55.0,52.0
1707922924556087759,0,56.0,46.0,55.0,52.0
1707922924586324510,0,56.0,47.0,55.0,52.0
1707922924617734256,0,55.0,47.0,56.0,51.0
1707922924648281963,0,55.0,46.0,56.0,51.0
1707922924679313372,0,55.0,46.0,55.0,51.0
1707922924710469970,0,56.0,46.0,54.0,52.0
1707922924741635892,0,56.0,45.0,55.0,53.0
1707922924773581982,0,56.0,46.0,54.0,52.0
1707922924803857870,0,56.0,46.0,54.0,51.0
1707922924834372474,0,56.0,46.0,54.0,50.0
1707922924865758435,0,56.0,47.0,54.0,51.0
1707922924897470806,0,56.0,46.0,55.0,51.0
1707922924928334653,0,56.0,46.0,55.0,52.0
1707922924959627693,0,55.0,46.0,55.0,51.0
1707922924989755196,0,55.0,45.0,54.0,49.0
1707922925020217869,0,53.0,46.0,54.0,47.0
1707922925052934925,0,51.0,45.0,54.0,49.0
1707922925083699839,0,49.0,49.0,55.0,50.0
1707922925116972533,0,50.0,51.0,55.0,51.0
1707922925145753409,0,51.0,53.0,55.0,49.0
1707922925175408329,0,51.0,52.0,53.0,48.0
1707922925206870022,0,51.0,52.0,53.0,48.0
1707922925237826744,0,49.0,53.0,52.0,48.0
1707922925268335409,0,49.0,52.0,53.0,50.0
1707922925299864953,0,49.0,49.0,55.0,50.0
1707922925330911295,0,50.0,46.0,55.0,51.0
1707922925362247563,0,50.0,47.0,53.0,52.0
1707922925393530860,0,50.0,48.0,50.0,54.0
1707922925424293082,0,51.0,48.0,50.0,55.0
1707922925455377879,0,53.0,48.0,50.0,56.0
1707922925486079011,0,53.0,47.0,51.0,56.0
1707922925517356652,0,54.0,47.0,50.0,56.0
1707922925548860699,0,55.0,48.0,50.0,56.0
1707922925579823444,0,55.0,47.0,48.0,56.0
1707922925610435066,0,55.0,48.0,48.0,57.0
1707922925641833319,0,55.0,47.0,48.0,54.0
1707922925672667309,0,55.0,47.0,50.0,51.0
1707922925703835999,0,56.0,47.0,51.0,48.0
1707922925734763185,0,56.0,47.0,52.0,47.0
1707922925765536581,0,57.0,49.0,51.0,49.0
1707922925796574758,0,56.0,48.0,49.0,50.0
1707922925827051199,0,56.0,47.0,50.0,49.0
1707922925859687352,0,54.0,47.0,51.0,47.0
1707922925890475929,0,53.0,48.0,53.0,46.0
1707922925921164703,0,53.0,50.0,52.0,45.0
1707922925952716313,0,53.0,50.0,53.0,46.0
1707922925983882228,0,50.0,50.0,54.0,47.0
1707922926015233705,0,50.0,50.0,56.0,49.0
1707922926045357540,0,48.0,50.0,56.0,50.0
1707922926077835611,0,48.0,51.0,56.0,48.0
1707922926107448931,0,47.0,47.0,55.0,48.0
1707922926138697378,0,47.0,46.0,55.0,49.0
1707922926169255269,0,49.0,44.0,54.0,52.0
1707922926200446592,0,49.0,46.0,51.0,53.0
1707922926232291001,0,50.0,45.0,50.0,53.0
1707922926263453952,0,51.0,44.0,51.0,52.0
1707922926294127413,0,52.0,44.0,51.0,52.0
1707922926325677797,0,52.0,45.0,50.0,51.0
1707922926356237192,0,52.0,48.0,50.0,53.0
1707922926386265063,0,51.0,48.0,51.0,52.0
1707922926417599843,0,52.0,49.0,51.0,53.0
1707922926448822172,0,52.0,48.0,48.0,54.0
1707922926480250298,0,53.0,49.0,48.0,56.0
1707922926511625870,0,52.0,49.0,48.0,57.0
1707922926542856625,0,53.0,50.0,49.0,56.0
1707922926572898103,0,55.0,49.0,48.0,55.0
1707922926603890495,0,56.0,49.0,49.0,56.0
1707922926634748214,0,58.0,48.0,49.0,57.0
1707922926666055934,0,59.0,48.0,49.0,58.0
1707922926696856432,0,61.0,50.0,49.0,57.0
1707922926727826709,0,63.0,50.0,49.0,59.0
1707922926760279187,0,66.0,50.0,50.0,59.0
1707922926790459151,0,67.0,50.0,49.0,61.0
1707922926822681118,0,68.0,50.0,49.0,64.0
1707922926853322385,0,67.0,51.0,48.0,67.0
1707922926883580380,0,69.0,50.0,47.0,68.0
1707922926914777344,0,69.0,51.0,46.0,69.0
1707922926945481812,0,71.0,51.0,45.0,69.0
1707922926977535263,0,72.0,52.0,46.0,69.0
1707922927009132058,0,74.0,52.0,45.0,68.0
1707922927039841900,0,74.0,51.0,45.0,70.0
1707922927070143633,0,74.0,51.0,45.0,70.0
1707922927100267794,0,74.0,51.0,46.0,70.0
1707922927131466609,0,74.0,51.0,45.0,71.0
1707922927162836554,0,74.0,52.0,45.0,71.0
1707922927194235264,0,74.0,50.0,46.0,71.0
1707922927225275302,0,74.0,50.0,48.0,71.0
1707922927256426797,0,74.0,49.0,47.0,71.0
1707922927287169926,0,74.0,49.0,45.0,71.0
1707922927318132297,0,73.0,49.0,41.0,72.0
1707922927348392375,0,72.0,49.0,41.0,72.0
1707922927381246004,0,70.0,49.0,42.0,73.0
1707922927411821834,0,69.0,49.0,42.0,72.0
1707922927442153433,0,70.0,48.0,44.0,73.0
1707922927474147089,0,71.0,48.0,43.0,75.0
1707922927504165946,0,72.0,48.0,44.0,77.0
1707922927534997560,0,72.0,49.0,41.0,78.0
1707922927566347473,0,71.0,48.0,41.0,78.0
1707922927600516780,0,71.0,48.0,41.0,76.0
1707922927628692438,0,70.0,47.0,42.0,74.0
1707922927660691083,0,71.0,48.0,41.0,74.0
1707922927691220026,0,72.0,48.0,41.0,75.0
1707922927721357896,0,72.0,47.0,41.0,75.0
1707922927752312979,0,72.0,47.0,40.0,75.0
1707922927784051482,0,71.0,47.0,40.0,73.0
1707922927814730654,0,71.0,47.0,42.0,73.0
1707922927845617914,0,70.0,48.0,41.0,73.0
1707922927877500394,0,70.0,49.0,42.0,75.0
1707922927908210669,0,69.0,50.0,41.0,75.0
1707922927938530332,0,69.0,50.0,45.0,74.0
1707922927970148558,0,71.0,48.0,45.0,74.0
1707922928001472450,0,74.0,47.0,45.0,74.0
1707922928034577372,0,73.0,47.0,43.0,73.0
1707922928065501088,0,72.0,48.0,43.0,73.0
1707922928098082144,0,71.0,49.0,42.0,74.0
1707922928130169841,0,72.0,49.0,42.0,76.0
1707922928162457275,0,73.0,50.0,42.0,77.0
1707922928193469954,0,73.0,50.0,42.0,77.0
1707922928225736433,0,73.0,49.0,42.0,76.0
1707922928258142732,0,74.0,49.0,43.0,75.0
1707922928290318476,0,73.0,50.0,45.0,75.0
1707922928321846545,0,72.0,50.0,46.0,74.0
1707922928354722051,0,72.0,50.0,46.0,73.0
1707922928385698048,0,73.0,49.0,45.0,73.0
1707922928417562567,0,72.0,49.0,45.0,72.0
1707922928450789011,0,73.0,48.0,47.0,74.0
1707922928482058819,0,72.0,48.0,49.0,75.0
1707922928514439499,0,75.0,50.0,48.0,77.0
1707922928545928719,0,74.0,51.0,47.0,77.0
1707922928577828373,0,74.0,51.0,45.0,77.0
1707922928610345719,0,73.0,50.0,44.0,75.0
1707922928642096790,0,71.0,49.0,43.0,74.0
1707922928674500982,0,70.0,49.0,43.0,74.0
1707922928705621880,0,69.0,50.0,41.0,74.0
1707922928738463931,0,70.0,49.0,41.0,74.0
1707922928770740097,0,70.0,51.0,43.0,74.0
1707922928802556950,0,71.0,50.0,46.0,74.0
1707922928834245702,0,73.0,52.0,47.0,74.0
1707922928866733317,0,73.0,53.0,45.0,74.0
1707922928898844588,0,72.0,53.0,41.0,75.0
1707922928930846535,0,70.0,52.0,40.0,76.0
1707922928961961398,0,70.0,50.0,39.0,74.0
1707922928995611950,0,69.0,50.0,40.0,74.0
1707922929027633942,0,69.0,50.0,40.0,74.0
1707922929059114839,0,70.0,51.0,42.0,74.0
1707922929090770065,0,72.0,51.0,44.0,73.0
1707922929123024553,0,74.0,50.0,43.0,73.0
1707922929154514015,0,73.0,50.0,41.0,71.0
1707922929185916205,0,71.0,50.0,40.0,71.0
1707922929218322616,0,69.0,49.0,39.0,71.0
1707922929250051525,0,70.0,48.0,39.0,72.0
1707922929282229853,0,70.0,48.0,39.0,72.0
1707922929315452892,0,70.0,48.0,41.0,72.0
1707922929346991439,0,70.0,49.0,43.0,71.0
1707922929379065377,0,70.0,49.0,42.0,71.0
1707922929410002723,0,70.0,50.0,41.0,71.0
1707922929441847604,0,71.0,49.0,39.0,71.0
1707922929473728538,0,70.0,49.0,38.0,71.0
1707922929507011698,0,70.0,50.0,38.0,71.0
1707922929538338013,0,70.0,51.0,38.0,71.0
1707922929570508845,0,71.0,51.0,38.0,72.0
1707922929601592056,0,71.0,50.0,38.0,72.0
1707922929634363782,0,71.0,48.0,39.0,72.0
1707922929665485866,0,71.0,48.0,40.0,72.0
1707922929700152349,0,71.0,49.0,40.0,71.0
1707922929728751519,0,70.0,48.0,39.0,71.0
1707922929760935288,0,70.0,49.0,38.0,70.0
1707922929793654554,0,71.0,48.0,38.0,71.0
1707922929825115259,0,71.0,50.0,39.0,72.0
1707922929856569986,0,71.0,49.0,39.0,72.0
1707922929888641251,0,71.0,48.0,40.0,72.0
1707922929920390326,0,71.0,47.0,39.0,72.0
1707922929952128989,0,71.0,48.0,38.0,73.0
1707922929985558479,0,70.0,49.0,37.0,72.0
1707922930016936561,0,70.0,48.0,37.0,71.0
1707922930049368015,0,69.0,49.0,37.0,70.0
1707922930080480290,0,70.0,49.0,38.0,71.0
1707922930112063404,0,70.0,51.0,38.0,72.0
1707922930143303646,0,70.0,49.0,39.0,72.0
1707922930177763618,0,70.0,49.0,39.0,72.0
1707922930206942564,0,71.0,48.0,38.0,71.0
1707922930239546372,0,71.0,50.0,36.0,71.0
1707922930271260037,0,70.0,50.0,35.0,71.0
1707922930303577073,0,70.0,50.0,36.0,71.0
1707922930334965596,0,69.0,49.0,38.0,72.0
1707922930367361137,0,70.0,48.0,39.0,73.0
1707922930398556773,0,71.0,47.0,39.0,73.0
1707922930431386964,0,71.0,48.0,38.0,72.0
1707922930462032138,0,71.0,48.0,38.0,71.0
1707922930494158449,0,71.0,49.0,38.0,71.0
1707922930525991607,0,71.0,48.0,37.0,71.0
1707922930558096130,0,71.0,48.0,37.0,72.0
1707922930589528404,0,71.0,48.0,35.0,72.0
1707922930622034186,0,70.0,49.0,36.0,71.0
1707922930653334473,0,71.0,50.0,37.0,70.0
1707922930685048819,0,71.0,49.0,38.0,70.0
1707922930716647045,0,72.0,49.0,38.0,70.0
1707922930749327819,0,71.0,49.0,37.0,71.0
1707922930779958854,0,70.0,49.0,36.0,71.0
1707922930811437278,0,70.0,49.0,36.0,71.0
1707922930844111933,0,70.0,48.0,35.0,70.0
1707922930875779878,0,70.0,49.0,35.0,71.0
1707922930907706744,0,70.0,48.0,36.0,70.0
1707922930939636207,0,70.0,49.0,36.0,71.0
1707922930970702127,0,71.0,49.0,37.0,70.0
1707922931002318464,0,71.0,49.0,37.0,69.0
1707922931034791136,0,71.0,48.0,36.0,69.0
1707922931068019741,0,70.0,47.0,36.0,70.0
1707922931098212491,0,69.0,47.0,36.0,71.0
1707922931129448346,0,71.0,47.0,36.0,72.0
1707922931161856104,0,71.0,48.0,36.0,73.0
1707922931193584558,0,71.0,49.0,37.0,73.0
1707922931225209911,0,70.0,50.0,38.0,72.0
1707922931257668076,0,71.0,50.0,37.0,70.0
1707922931288456611,0,71.0,49.0,36.0,71.0
1707922931321108526,0,70.0,49.0,35.0,72.0
1707922931351989963,0,71.0,49.0,37.0,72.0
1707922931382983397,0,71.0,49.0,37.0,71.0
1707922931416292395,0,71.0,49.0,37.0,71.0
1707922931447633519,0,71.0,48.0,37.0,72.0
1707922931478830140,0,72.0,48.0,37.0,72.0
1707922931510924707,0,71.0,47.0,37.0,72.0
1707922931542318885,0,71.0,47.0,37.0,71.0
1707922931574472648,0,71.0,47.0,37.0,71.0
1707922931605749434,0,71.0,48.0,37.0,71.0
1707922931637670968,0,72.0,48.0,37.0,71.0
1707922931669910839,0,72.0,48.0,36.0,72.0
1707922931700323792,0,72.0,48.0,37.0,71.0
1707922931732323027,0,71.0,47.0,37.0,72.0
1707922931764131573,0,71.0,47.0,38.0,71.0
1707922931795217181,0,71.0,48.0,37.0,72.0
1707922931828046320,0,71.0,49.0,38.0,72.0
1707922931859301040,0,71.0,49.0,37.0,72.0
1707922931891339212,0,71.0,46.0,37.0,71.0
1707922931923334760,0,70.0,45.0,37.0,71.0
1707922931954950171,0,70.0,46.0,37.0,72.0
1707922931986357374,0,70.0,46.0,37.0,72.0
1707922932017660148,0,71.0,48.0,37.0,72.0
1707922932050212251,0,71.0,48.0,37.0,72.0
1707922932082877580,0,72.0,48.0,38.0,72.0
1707922932114674428,0,72.0,48.0,36.0,73.0
1707922932144722539,0,72.0,47.0,37.0,73.0
1707922932177389459,0,71.0,48.0,37.0,72.0
1707922932208570608,0,71.0,47.0,37.0,72.0
1707922932238827320,0,71.0,47.0,37.0,70.0
1707922932271408043,0,71.0,47.0,38.0,70.0
1707922932302779165,0,70.0,47.0,39.0,71.0
1707922932335009108,0,71.0,49.0,39.0,72.0
1707922932366586137,0,71.0,48.0,37.0,72.0
1707922932399108760,0,70.0,49.0,37.0,72.0
1707922932430813104,0,70.0,49.0,36.0,71.0
1707922932461050271,0,70.0,49.0,37.0,71.0
1707922932493344586,0,71.0,49.0,37.0,71.0
1707922932524697555,0,72.0,48.0,37.0,73.0
1707922932555545674,0,72.0,49.0,37.0,72.0
1707922932587928274,0,72.0,49.0,37.0,72.0
1707922932619092006,0,71.0,48.0,37.0,71.0
1707922932650885354,0,70.0,47.0,37.0,72.0
1707922932682414675,0,70.0,48.0,37.0,71.0
